Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2475,0,340,348.65568395971553,19.26149999781046,911.4242999930866,114.84686868686869,29.3113636258522,0.0,340,430,490,520,600,670,730,770,870,910,910
,Aggregated,2475,0,340,348.65568395971553,19.26149999781046,911.4242999930866,114.84686868686869,29.3113636258522,0.0,340,430,490,520,600,670,730,770,870,910,910
